"Step","restful-grass-361 - decoder_loss","restful-grass-361 - decoder_loss__MIN","restful-grass-361 - decoder_loss__MAX","polar-wave-360 - decoder_loss","polar-wave-360 - decoder_loss__MIN","polar-wave-360 - decoder_loss__MAX","fanciful-lion-357 - decoder_loss","fanciful-lion-357 - decoder_loss__MIN","fanciful-lion-357 - decoder_loss__MAX","peachy-lake-322 - decoder_loss","peachy-lake-322 - decoder_loss__MIN","peachy-lake-322 - decoder_loss__MAX","fast-field-321 - decoder_loss","fast-field-321 - decoder_loss__MIN","fast-field-321 - decoder_loss__MAX","proud-plant-319 - decoder_loss","proud-plant-319 - decoder_loss__MIN","proud-plant-319 - decoder_loss__MAX","fresh-totem-319 - decoder_loss","fresh-totem-319 - decoder_loss__MIN","fresh-totem-319 - decoder_loss__MAX","lunar-grass-318 - decoder_loss","lunar-grass-318 - decoder_loss__MIN","lunar-grass-318 - decoder_loss__MAX","graceful-night-317 - decoder_loss","graceful-night-317 - decoder_loss__MIN","graceful-night-317 - decoder_loss__MAX","different-leaf-278 - decoder_loss","different-leaf-278 - decoder_loss__MIN","different-leaf-278 - decoder_loss__MAX"
"26","4.6268310546875","4.6268310546875","4.6268310546875","5.290914535522461","5.290914535522461","5.290914535522461","4.800205230712891","4.800205230712891","4.800205230712891","5.179402828216553","5.179402828216553","5.179402828216553","5.323281764984131","5.323281764984131","5.323281764984131","5.376334190368652","5.376334190368652","5.376334190368652","5.281584739685059","5.281584739685059","5.281584739685059","5.329667568206787","5.329667568206787","5.329667568206787","5.401418685913086","5.401418685913086","5.401418685913086","5.347695827484131","5.347695827484131","5.347695827484131"
"27","4.1243438720703125","4.1243438720703125","4.1243438720703125","4.739381790161133","4.739381790161133","4.739381790161133","4.284022808074951","4.284022808074951","4.284022808074951","4.635613918304443","4.635613918304443","4.635613918304443","4.770108222961426","4.770108222961426","4.770108222961426","4.819875240325928","4.819875240325928","4.819875240325928","4.730695724487305","4.730695724487305","4.730695724487305","4.775523662567139","4.775523662567139","4.775523662567139","4.843482494354248","4.843482494354248","4.843482494354248","4.792319297790527","4.792319297790527","4.792319297790527"
"28","4.454423427581787","4.454423427581787","4.454423427581787","5.084465026855469","5.084465026855469","5.084465026855469","4.619381427764893","4.619381427764893","4.619381427764893","4.979493618011475","4.979493618011475","4.979493618011475","5.11594820022583","5.11594820022583","5.11594820022583","5.166965484619141","5.166965484619141","5.166965484619141","5.075697898864746","5.075697898864746","5.075697898864746","5.1209025382995605","5.1209025382995605","5.1209025382995605","5.191226482391357","5.191226482391357","5.191226482391357","5.1378374099731445","5.1378374099731445","5.1378374099731445"
"29","4.06151819229126","4.06151819229126","4.06151819229126","4.6735310554504395","4.6735310554504395","4.6735310554504395","4.219786167144775","4.219786167144775","4.219786167144775","4.5721635818481445","4.5721635818481445","4.5721635818481445","4.6978864669799805","4.6978864669799805","4.6978864669799805","4.74734354019165","4.74734354019165","4.74734354019165","4.665068626403809","4.665068626403809","4.665068626403809","4.708709239959717","4.708709239959717","4.708709239959717","4.77079963684082","4.77079963684082","4.77079963684082","4.725050926208496","4.725050926208496","4.725050926208496"
"30","3.949951410293579","3.949951410293579","3.949951410293579","4.522012710571289","4.522012710571289","4.522012710571289","4.098700523376465","4.098700523376465","4.098700523376465","4.4247636795043945","4.4247636795043945","4.4247636795043945","4.551129341125488","4.551129341125488","4.551129341125488","4.597691059112549","4.597691059112549","4.597691059112549","4.513874530792236","4.513874530792236","4.513874530792236","4.5558624267578125","4.5558624267578125","4.5558624267578125","4.619818687438965","4.619818687438965","4.619818687438965","4.571616172790527","4.571616172790527","4.571616172790527"
"31","4.500455379486084","4.500455379486084","4.500455379486084","5.1822896003723145","5.1822896003723145","5.1822896003723145","4.679790019989014","4.679790019989014","4.679790019989014","5.067587852478027","5.067587852478027","5.067587852478027","5.220623970031738","5.220623970031738","5.220623970031738","5.275936126708984","5.275936126708984","5.275936126708984","5.17270040512085","5.17270040512085","5.17270040512085","5.222105503082275","5.222105503082275","5.222105503082275","5.302115440368652","5.302115440368652","5.302115440368652","5.2406005859375","5.2406005859375","5.2406005859375"
"32","4.317170143127441","4.317170143127441","4.317170143127441","4.922946929931641","4.922946929931641","4.922946929931641","4.475458145141602","4.475458145141602","4.475458145141602","4.822577476501465","4.822577476501465","4.822577476501465","4.951513767242432","4.951513767242432","4.951513767242432","5.000332832336426","5.000332832336426","5.000332832336426","4.914556503295898","4.914556503295898","4.914556503295898","4.957839488983154","4.957839488983154","4.957839488983154","5.023510932922363","5.023510932922363","5.023510932922363","4.974069118499756","4.974069118499756","4.974069118499756"
"33","4.412966251373291","4.412966251373291","4.412966251373291","5.081314563751221","5.081314563751221","5.081314563751221","4.586648464202881","4.586648464202881","4.586648464202881","4.970340728759766","4.970340728759766","4.970340728759766","5.111375331878662","5.111375331878662","5.111375331878662","5.1650495529174805","5.1650495529174805","5.1650495529174805","5.072032928466797","5.072032928466797","5.072032928466797","5.119823932647705","5.119823932647705","5.119823932647705","5.190456390380859","5.190456390380859","5.190456390380859","5.137725353240967","5.137725353240967","5.137725353240967"
"34","4.603445529937744","4.603445529937744","4.603445529937744","5.295626163482666","5.295626163482666","5.295626163482666","4.783134460449219","4.783134460449219","4.783134460449219","5.181741714477539","5.181741714477539","5.181741714477539","5.324972152709961","5.324972152709961","5.324972152709961","5.380289554595947","5.380289554595947","5.380289554595947","5.286117076873779","5.286117076873779","5.286117076873779","5.335158824920654","5.335158824920654","5.335158824920654","5.406466007232666","5.406466007232666","5.406466007232666","5.353518962860107","5.353518962860107","5.353518962860107"
"35","4.198309421539307","4.198309421539307","4.198309421539307","4.843597888946533","4.843597888946533","4.843597888946533","4.367063522338867","4.367063522338867","4.367063522338867","4.733870506286621","4.733870506286621","4.733870506286621","4.88092041015625","4.88092041015625","4.88092041015625","4.933815002441406","4.933815002441406","4.933815002441406","4.834430694580078","4.834430694580078","4.834430694580078","4.881770133972168","4.881770133972168","4.881770133972168","4.958987236022949","4.958987236022949","4.958987236022949","4.899502277374268","4.899502277374268","4.899502277374268"
