"Step","peachy-lake-322 - loss","peachy-lake-322 - loss__MIN","peachy-lake-322 - loss__MAX","fast-field-321 - loss","fast-field-321 - loss__MIN","fast-field-321 - loss__MAX","proud-plant-319 - loss","proud-plant-319 - loss__MIN","proud-plant-319 - loss__MAX","fresh-totem-319 - loss","fresh-totem-319 - loss__MIN","fresh-totem-319 - loss__MAX","lunar-grass-318 - loss","lunar-grass-318 - loss__MIN","lunar-grass-318 - loss__MAX","graceful-night-317 - loss","graceful-night-317 - loss__MIN","graceful-night-317 - loss__MAX","different-leaf-278 - loss","different-leaf-278 - loss__MIN","different-leaf-278 - loss__MAX","revived-durian-275 - loss","revived-durian-275 - loss__MIN","revived-durian-275 - loss__MAX","copper-sun-265 - loss","copper-sun-265 - loss__MIN","copper-sun-265 - loss__MAX","breezy-elevator-264 - loss","breezy-elevator-264 - loss__MIN","breezy-elevator-264 - loss__MAX"
"25","7.211252689361572","7.211252689361572","7.211252689361572","5.871774673461914","5.871774673461914","5.871774673461914","6.189459800720215","6.189459800720215","6.189459800720215","7.434919834136963","7.434919834136963","7.434919834136963","7.549148082733154","7.549148082733154","7.549148082733154","6.385319709777832","6.385319709777832","6.385319709777832","7.579493522644043","7.579493522644043","7.579493522644043","7.599214553833008","7.599214553833008","7.599214553833008","7.714524745941162","7.714524745941162","7.714524745941162","7.934232711791992","7.934232711791992","7.934232711791992"
"26","7.067803382873535","7.067803382873535","7.067803382873535","5.928088188171387","5.928088188171387","5.928088188171387","6.2545270919799805","6.2545270919799805","6.2545270919799805","7.353986740112305","7.353986740112305","7.353986740112305","7.557608127593994","7.557608127593994","7.557608127593994","6.451836585998535","6.451836585998535","6.451836585998535","7.632881164550781","7.632881164550781","7.632881164550781","7.869640827178955","7.869640827178955","7.869640827178955","7.9777445793151855","7.9777445793151855","7.9777445793151855","8.131257057189941","8.131257057189941","8.131257057189941"
"27","6.9798994064331055","6.9798994064331055","6.9798994064331055","5.556211471557617","5.556211471557617","5.556211471557617","5.855696201324463","5.855696201324463","5.855696201324463","7.218334197998047","7.218334197998047","7.218334197998047","7.280560493469238","7.280560493469238","7.280560493469238","6.039262294769287","6.039262294769287","6.039262294769287","7.291756629943848","7.291756629943848","7.291756629943848","7.448982238769531","7.448982238769531","7.448982238769531","7.4377121925354","7.4377121925354","7.4377121925354","7.679806709289551","7.679806709289551","7.679806709289551"
"28","6.836005210876465","6.836005210876465","6.836005210876465","5.7549638748168945","5.7549638748168945","5.7549638748168945","6.0919060707092285","6.0919060707092285","6.0919060707092285","7.0489373207092285","7.0489373207092285","7.0489373207092285","7.194070816040039","7.194070816040039","7.194070816040039","6.283196926116943","6.283196926116943","6.283196926116943","7.261550426483154","7.261550426483154","7.261550426483154","7.463995933532715","7.463995933532715","7.463995933532715","7.589447021484375","7.589447021484375","7.589447021484375","7.771663188934326","7.771663188934326","7.771663188934326"
"29","6.677008628845215","6.677008628845215","6.677008628845215","5.4670562744140625","5.4670562744140625","5.4670562744140625","5.794924736022949","5.794924736022949","5.794924736022949","6.995840072631836","6.995840072631836","6.995840072631836","7.249605178833008","7.249605178833008","7.249605178833008","5.983781814575195","5.983781814575195","5.983781814575195","7.293329238891602","7.293329238891602","7.293329238891602","7.392721652984619","7.392721652984619","7.392721652984619","7.487446308135986","7.487446308135986","7.487446308135986","7.605844497680664","7.605844497680664","7.605844497680664"
"30","6.636137008666992","6.636137008666992","6.636137008666992","5.389979362487793","5.389979362487793","5.389979362487793","5.691144943237305","5.691144943237305","5.691144943237305","6.914688587188721","6.914688587188721","6.914688587188721","7.042778491973877","7.042778491973877","7.042778491973877","5.870087623596191","5.870087623596191","5.870087623596191","7.0864458084106445","7.0864458084106445","7.0864458084106445","7.162786483764648","7.162786483764648","7.162786483764648","7.2287092208862305","7.2287092208862305","7.2287092208862305","7.451239585876465","7.451239585876465","7.451239585876465"
"31","7.017930507659912","7.017930507659912","7.017930507659912","5.80974006652832","5.80974006652832","5.80974006652832","6.149688243865967","6.149688243865967","6.149688243865967","7.348041534423828","7.348041534423828","7.348041534423828","7.579965114593506","7.579965114593506","7.579965114593506","6.349568843841553","6.349568843841553","6.349568843841553","7.636379718780518","7.636379718780518","7.636379718780518","7.800879001617432","7.800879001617432","7.800879001617432","7.807097911834717","7.807097911834717","7.807097911834717","7.951868534088135","7.951868534088135","7.951868534088135"
"32","6.9470744132995605","6.9470744132995605","6.9470744132995605","5.641166687011719","5.641166687011719","5.641166687011719","5.968563079833984","5.968563079833984","5.968563079833984","7.275040149688721","7.275040149688721","7.275040149688721","7.452071666717529","7.452071666717529","7.452071666717529","6.154970645904541","6.154970645904541","6.154970645904541","7.4903883934021","7.4903883934021","7.4903883934021","7.598352909088135","7.598352909088135","7.598352909088135","7.647530555725098","7.647530555725098","7.647530555725098","7.780428886413574","7.780428886413574","7.780428886413574"
"33","7.025508403778076","7.025508403778076","7.025508403778076","5.750481605529785","5.750481605529785","5.750481605529785","6.100708484649658","6.100708484649658","6.100708484649658","7.268013954162598","7.268013954162598","7.268013954162598","7.348639965057373","7.348639965057373","7.348639965057373","6.296697616577148","6.296697616577148","6.296697616577148","7.37827730178833","7.37827730178833","7.37827730178833","7.550738334655762","7.550738334655762","7.550738334655762","7.612651348114014","7.612651348114014","7.612651348114014","7.834374904632568","7.834374904632568","7.834374904632568"
"34","7.069858074188232","7.069858074188232","7.069858074188232","5.901369094848633","5.901369094848633","5.901369094848633","6.237368583679199","6.237368583679199","6.237368583679199","7.1753058433532715","7.1753058433532715","7.1753058433532715","7.311038970947266","7.311038970947266","7.311038970947266","6.435826301574707","6.435826301574707","6.435826301574707","7.404733180999756","7.404733180999756","7.404733180999756","7.718596458435059","7.718596458435059","7.718596458435059","7.843175411224365","7.843175411224365","7.843175411224365","8.041015625","8.041015625","8.041015625"
"35","6.800654411315918","6.800654411315918","6.800654411315918","5.613293170928955","5.613293170928955","5.613293170928955","5.929789066314697","5.929789066314697","5.929789066314697","7.143375873565674","7.143375873565674","7.143375873565674","7.360810279846191","7.360810279846191","7.360810279846191","6.118829250335693","6.118829250335693","6.118829250335693","7.437204360961914","7.437204360961914","7.437204360961914","7.588559150695801","7.588559150695801","7.588559150695801","7.599521636962891","7.599521636962891","7.599521636962891","7.859018802642822","7.859018802642822","7.859018802642822"
"36","7.147251129150391","7.147251129150391","7.147251129150391","5.631160259246826","5.631160259246826","5.631160259246826","5.905274391174316","5.905274391174316","5.905274391174316","7.444807529449463","7.444807529449463","7.444807529449463","7.587115287780762","7.587115287780762","7.587115287780762","6.081126689910889","6.081126689910889","6.081126689910889","7.598453998565674","7.598453998565674","7.598453998565674","7.459336757659912","7.459336757659912","7.459336757659912","7.333141326904297","7.333141326904297","7.333141326904297","7.515672206878662","7.515672206878662","7.515672206878662"
"37","6.750791549682617","6.750791549682617","6.750791549682617","5.569546699523926","5.569546699523926","5.569546699523926","5.876636505126953","5.876636505126953","5.876636505126953","6.937233924865723","6.937233924865723","6.937233924865723","7.123116970062256","7.123116970062256","7.123116970062256","6.057818412780762","6.057818412780762","6.057818412780762","7.185956001281738","7.185956001281738","7.185956001281738","7.4576263427734375","7.4576263427734375","7.4576263427734375","7.517750263214111","7.517750263214111","7.517750263214111","7.737088680267334","7.737088680267334","7.737088680267334"
"38","6.949436187744141","6.949436187744141","6.949436187744141","5.872281074523926","5.872281074523926","5.872281074523926","6.207944869995117","6.207944869995117","6.207944869995117","7.149033069610596","7.149033069610596","7.149033069610596","7.324657917022705","7.324657917022705","7.324657917022705","6.40435791015625","6.40435791015625","6.40435791015625","7.416056156158447","7.416056156158447","7.416056156158447","7.615234851837158","7.615234851837158","7.615234851837158","7.650571823120117","7.650571823120117","7.650571823120117","7.837396621704102","7.837396621704102","7.837396621704102"
"39","7.0485944747924805","7.0485944747924805","7.0485944747924805","5.875032424926758","5.875032424926758","5.875032424926758","6.210507392883301","6.210507392883301","6.210507392883301","7.288970947265625","7.288970947265625","7.288970947265625","7.423419952392578","7.423419952392578","7.423419952392578","6.377407073974609","6.377407073974609","6.377407073974609","7.464499473571777","7.464499473571777","7.464499473571777","7.696233749389648","7.696233749389648","7.696233749389648","7.8222174644470215","7.8222174644470215","7.8222174644470215","8.040224075317383","8.040224075317383","8.040224075317383"
"40","6.801083564758301","6.801083564758301","6.801083564758301","5.66219425201416","5.66219425201416","5.66219425201416","6.001515865325928","6.001515865325928","6.001515865325928","7.037933826446533","7.037933826446533","7.037933826446533","7.193809509277344","7.193809509277344","7.193809509277344","6.192044258117676","6.192044258117676","6.192044258117676","7.265884876251221","7.265884876251221","7.265884876251221","7.522878646850586","7.522878646850586","7.522878646850586","7.608008861541748","7.608008861541748","7.608008861541748","7.814578533172607","7.814578533172607","7.814578533172607"
"41","6.842731475830078","6.842731475830078","6.842731475830078","5.655413627624512","5.655413627624512","5.655413627624512","5.991215229034424","5.991215229034424","5.991215229034424","7.15396785736084","7.15396785736084","7.15396785736084","7.316066265106201","7.316066265106201","7.316066265106201","6.178757190704346","6.178757190704346","6.178757190704346","7.341002464294434","7.341002464294434","7.341002464294434","7.399312973022461","7.399312973022461","7.399312973022461","7.469555377960205","7.469555377960205","7.469555377960205","7.737985610961914","7.737985610961914","7.737985610961914"
"42","6.811055660247803","6.811055660247803","6.811055660247803","5.588450908660889","5.588450908660889","5.588450908660889","5.866758346557617","5.866758346557617","5.866758346557617","7.096291542053223","7.096291542053223","7.096291542053223","7.31827449798584","7.31827449798584","7.31827449798584","6.047252655029297","6.047252655029297","6.047252655029297","7.41229248046875","7.41229248046875","7.41229248046875","7.591420650482178","7.591420650482178","7.591420650482178","7.589614391326904","7.589614391326904","7.589614391326904","7.779757976531982","7.779757976531982","7.779757976531982"
"43","7.207911491394043","7.207911491394043","7.207911491394043","5.7606587409973145","5.7606587409973145","5.7606587409973145","6.053133010864258","6.053133010864258","6.053133010864258","7.38642692565918","7.38642692565918","7.38642692565918","7.552402973175049","7.552402973175049","7.552402973175049","6.241561412811279","6.241561412811279","6.241561412811279","7.578423023223877","7.578423023223877","7.578423023223877","7.527527332305908","7.527527332305908","7.527527332305908","7.585461139678955","7.585461139678955","7.585461139678955","7.7740583419799805","7.7740583419799805","7.7740583419799805"
"44","6.723023414611816","6.723023414611816","6.723023414611816","5.564260959625244","5.564260959625244","5.564260959625244","5.901028633117676","5.901028633117676","5.901028633117676","7.016515254974365","7.016515254974365","7.016515254974365","7.219902038574219","7.219902038574219","7.219902038574219","6.093252182006836","6.093252182006836","6.093252182006836","7.292776584625244","7.292776584625244","7.292776584625244","7.381776332855225","7.381776332855225","7.381776332855225","7.405623435974121","7.405623435974121","7.405623435974121","7.627650737762451","7.627650737762451","7.627650737762451"
"45","6.593526363372803","6.593526363372803","6.593526363372803","5.5442891120910645","5.5442891120910645","5.5442891120910645","5.837765216827393","5.837765216827393","5.837765216827393","6.790822982788086","6.790822982788086","6.790822982788086","6.925763130187988","6.925763130187988","6.925763130187988","6.019081115722656","6.019081115722656","6.019081115722656","6.983679294586182","6.983679294586182","6.983679294586182","7.385639190673828","7.385639190673828","7.385639190673828","7.374534606933594","7.374534606933594","7.374534606933594","7.557506084442139","7.557506084442139","7.557506084442139"
"46","7.240556240081787","7.240556240081787","7.240556240081787","5.875198841094971","5.875198841094971","5.875198841094971","6.181466102600098","6.181466102600098","6.181466102600098","7.451249599456787","7.451249599456787","7.451249599456787","7.5593719482421875","7.5593719482421875","7.5593719482421875","6.370000839233398","6.370000839233398","6.370000839233398","7.593884468078613","7.593884468078613","7.593884468078613","7.773839950561523","7.773839950561523","7.773839950561523","7.867855072021484","7.867855072021484","7.867855072021484","7.956006050109863","7.956006050109863","7.956006050109863"
"47","7.143529891967773","7.143529891967773","7.143529891967773","5.876151084899902","5.876151084899902","5.876151084899902","6.21293306350708","6.21293306350708","6.21293306350708","7.37656307220459","7.37656307220459","7.37656307220459","7.488981246948242","7.488981246948242","7.488981246948242","6.4140706062316895","6.4140706062316895","6.4140706062316895","7.497659206390381","7.497659206390381","7.497659206390381","7.692340850830078","7.692340850830078","7.692340850830078","7.704919338226318","7.704919338226318","7.704919338226318","7.938241958618164","7.938241958618164","7.938241958618164"
"48","7.2356038093566895","7.2356038093566895","7.2356038093566895","5.814476490020752","5.814476490020752","5.814476490020752","6.1049675941467285","6.1049675941467285","6.1049675941467285","7.439022541046143","7.439022541046143","7.439022541046143","7.514153003692627","7.514153003692627","7.514153003692627","6.2920026779174805","6.2920026779174805","6.2920026779174805","7.559536933898926","7.559536933898926","7.559536933898926","7.650862693786621","7.650862693786621","7.650862693786621","7.7331061363220215","7.7331061363220215","7.7331061363220215","7.933971405029297","7.933971405029297","7.933971405029297"
"49","7.066898822784424","7.066898822784424","7.066898822784424","6.050727844238281","6.050727844238281","6.050727844238281","6.403600215911865","6.403600215911865","6.403600215911865","7.3599395751953125","7.3599395751953125","7.3599395751953125","7.503424167633057","7.503424167633057","7.503424167633057","6.611245632171631","6.611245632171631","6.611245632171631","7.580896854400635","7.580896854400635","7.580896854400635","7.814131736755371","7.814131736755371","7.814131736755371","7.900824069976807","7.900824069976807","7.900824069976807","8.176372528076172","8.176372528076172","8.176372528076172"
"50","7.005747318267822","7.005747318267822","7.005747318267822","5.816779136657715","5.816779136657715","5.816779136657715","6.165131092071533","6.165131092071533","6.165131092071533","7.347189903259277","7.347189903259277","7.347189903259277","7.449885368347168","7.449885368347168","7.449885368347168","6.356021404266357","6.356021404266357","6.356021404266357","7.484678745269775","7.484678745269775","7.484678745269775","7.672979831695557","7.672979831695557","7.672979831695557","7.72930383682251","7.72930383682251","7.72930383682251","7.922760486602783","7.922760486602783","7.922760486602783"
